wksSinceFirstPurch,socialMediaAdCount36,wksSinceLastPurch,intAdExposureCount12,totalNumProdPurchased,intAdExposureCount36,socialMediaAdCountAll,regionPctCustomers,ID,intAdExposureCountAll,DemHomeOwner,LostCustomer,numOfTotalReturns,customerGender,basktPurchCount12Month,customerSubscrStat,socialMediaAdCount12,custInitiatedContacts,techSupportEval
101.0,11.0,18.0,13.0,6.0,33.0,19.0,39.0,74687.0,50.0,U,0,2,U,3,Platinum,6,2,           4
41.0,3.0,17.0,4.0,1.0,6.0,3.0,28.0,189985.0,5.0,U,0,1,F,5,Member,2,1,           5
115.0,7.0,18.0,13.0,18.0,33.0,26.0,41.0,45947.0,68.0,H,0,0,F,3,Platinum,6,3,           3
135.0,16.0,20.0,12.0,15.0,33.0,29.0,39.0,154499.0,69.0,U,0,2,F,3,Platinum,6,3,           3
146.0,17.0,16.0,16.0,18.0,36.0,31.0,27.0,25946.0,72.0,H,1,2,F,2,Platinum,6,3,           2
39.0,7.0,15.0,10.0,1.0,14.0,6.0,34.0,71839.0,12.0,U,1,1,F,5,Gold,5,1,           5
92.0,4.0,23.0,10.0,4.0,28.0,17.0,23.0,99508.0,45.0,U,0,0,M,5,Platinum,4,1,           5
88.0,13.0,6.0,26.0,7.0,44.0,17.0,41.0,14317.0,60.0,H,0,1,F,3,Platinum,6,2,           5
150.0,11.0,21.0,10.0,16.0,27.0,26.0,26.0,87470.0,70.0,H,0,1,F,5,Platinum,4,3,           3
43.0,9.0,4.0,20.0,4.0,26.0,8.0,27.0,185827.0,24.0,U,0,1,F,5,Gold,6,2,           5
73.0,13.0,18.0,10.0,9.0,27.0,15.0,23.0,167637.0,40.0,H,0,1,F,3,Platinum,4,1,           5
94.0,6.0,18.0,14.0,5.0,31.0,20.0,36.0,100668.0,46.0,U,0,0,M,3,Platinum,6,1,           5
64.0,12.0,19.0,11.0,2.0,28.0,11.0,35.0,174167.0,31.0,H,0,1,M,5,Platinum,6,1,           5
71.0,5.0,19.0,11.0,3.0,29.0,14.0,31.0,16953.0,37.0,H,0,0,U,5,Platinum,5,1,           5
100.0,21.0,19.0,26.0,28.0,47.0,35.0,35.0,617.0,99.0,U,0,4,M,1,Platinum,11,3,           3
52.0,5.0,23.0,10.0,3.0,13.0,7.0,39.0,151516.0,20.0,H,1,0,M,10,Gold,3,0,           .
